close_time,symbol,side,strategy,reason,entry_price,exit_price,amount,pnl,pnl_pct,balance,entry_time,adx,rsi,atr_pct,ema50_dist_pct,ema200_dist_pct,btc_corr_4c,volume_ratio,side_int,hold_hours,funding_rate,oi_change_pct,hour_of_day,day_of_week,fear_greed,btc_dominance,market_regime,bb_position,macd_hist_norm,consec_candles,news_sentiment
2025-07-26T00:00:00+00:00,LINK/USDT,LONG,V12_Original_4H,TIMEOUT,17.73,18.37,151.9186,5.4838,3.6097,561.73,2025-07-24T04:00:00+00:00,30.58,37.69,0.03872,-2.489,10.834,0.4993,1.342,1,44.0,0.0,0.0,0.174,0.5,50.0,55.0,-1.0,1.0252,1,-1.0,0.0
2025-07-26T00:00:00+00:00,AVAX/USDT,LONG,V12_Original_4H,TIMEOUT,23.27,24.06,113.939,3.8681,3.3949,679.53,2025-07-24T04:00:00+00:00,32.1,35.87,0.03695,-3.175,8.257,0.4993,1.144,1,44.0,0.0,0.0,0.174,0.5,50.0,55.0,-1.0,1.0642,1,-2.0,0.0
2025-07-26T00:00:00+00:00,DOGE/USDT,LONG,V12_Original_4H,TIMEOUT,0.23299,0.23664,85.4542,1.3387,1.5666,766.33,2025-07-24T04:00:00+00:00,37.76,35.65,0.05122,-4.346,11.537,0.4993,1.8,1,44.0,0.0,0.0,0.174,0.5,50.0,55.0,-1.0,1.0403,1,-1.0,0.0
2025-07-27T04:00:00+00:00,XRP/USDT,LONG,V12_Original_4H,TIMEOUT,3.1346,3.1897,88.814,1.5612,1.7578,335.08,2025-07-25T08:00:00+00:00,40.89,39.04,0.03566,-4.004,10.598,0.4134,0.626,1,44.0,0.0,0.0,0.348,0.667,50.0,55.0,-1.0,0.7309,-1,2.0,0.0
2025-07-27T04:00:00+00:00,ADA/USDT,LONG,V12_Original_4H,TIMEOUT,0.8103,0.8236,66.6105,1.0933,1.6414,402.79,2025-07-25T08:00:00+00:00,30.96,43.51,0.03758,-1.347,10.664,0.4134,0.705,1,44.0,0.0,0.0,0.348,0.667,50.0,55.0,-1.0,0.6913,-1,1.0,0.0
2025-07-27T20:00:00+00:00,AVAX/USDT,LONG,V12_Original_4H,TP,24.06,25.927036,191.5818,14.8666,7.7599,508.54,2025-07-26T00:00:00+00:00,26.88,49.91,0.03104,0.73,10.268,0.4875,0.367,1,44.0,0.0,0.0,0.0,0.833,50.0,55.0,0.0,0.5038,-1,3.0,0.0
2025-07-27T20:00:00+00:00,DOGE/USDT,LONG,V12_Original_4H,TIMEOUT,0.23664,0.24071,143.6864,2.4713,1.7199,654.69,2025-07-26T00:00:00+00:00,36.01,46.41,0.04312,-1.094,11.746,0.4875,0.503,1,44.0,0.0,0.0,0.0,0.833,50.0,55.0,0.0,0.5789,-1,-1.0,0.0
2025-07-27T20:00:00+00:00,PEPE/USDT,LONG,V12_Original_4H,TIMEOUT,1.3e-05,1.3e-05,107.7648,1.8861,1.7502,764.35,2025-07-26T00:00:00+00:00,29.91,45.81,0.04079,-3.145,4.599,0.4875,0.508,1,44.0,0.0,0.0,0.0,0.833,50.0,55.0,0.0,0.5786,-0.0034,3.0,0.0
2025-07-27T20:00:00+00:00,WIF/USDT,LONG,V12_Original_4H,TIMEOUT,1.072,1.124,78.5883,3.8121,4.8507,846.75,2025-07-26T00:00:00+00:00,25.5,44.87,0.05485,-3.454,6.746,0.4875,0.255,1,44.0,0.0,0.0,0.0,0.833,50.0,55.0,-1.0,0.6328,-1,-1.0,0.0
2025-07-28T12:00:00+00:00,PEPE/USDT,LONG,V12_Original_4H,SL,1.3e-05,1.2e-05,211.6865,-9.6163,-4.5427,837.13,2025-07-27T20:00:00+00:00,25.42,51.9,0.03028,-0.386,5.739,0.6155,1.123,1,16.0,0.0,0.0,0.87,1.0,50.0,55.0,0.0,0.1815,-0.0017,2.0,0.0
2025-07-29T00:00:00+00:00,XRP/USDT,LONG,V12_Original_4H,TIMEOUT,3.1897,3.1406,100.6963,-1.55,-1.5393,452.31,2025-07-27T04:00:00+00:00,32.77,47.55,0.02569,-1.06,10.996,0.5226,0.502,1,44.0,0.0,0.0,0.174,1.0,50.0,55.0,0.0,0.3122,-1,-1.0,0.0
2025-07-29T12:00:00+00:00,SUI/USDT,LONG,V12_Original_4H,SL,4.062,3.864017,209.2825,-10.2005,-4.874,651.39,2025-07-28T12:00:00+00:00,33.24,48.58,0.03249,1.677,11.837,0.4935,1.517,1,24.0,0.0,0.0,0.522,0.0,50.0,55.0,0.0,0.5636,1,-5.0,0.0
2025-07-29T16:00:00+00:00,AVAX/USDT,LONG,V12_Original_4H,SL,25.21,24.143948,156.9618,-6.6374,-4.2287,801.72,2025-07-28T20:00:00+00:00,30.59,50.55,0.02819,2.094,11.984,0.4834,0.981,1,20.0,0.0,0.0,0.87,0.0,50.0,55.0,0.0,0.4872,1,-3.0,0.0
2025-07-29T16:00:00+00:00,PEPE/USDT,LONG,V12_Original_4H,SL,1.2e-05,1.1e-05,117.7214,-5.8886,-5.0021,913.55,2025-07-28T20:00:00+00:00,25.44,34.32,0.03335,-7.275,-1.536,0.4834,1.226,1,20.0,0.0,0.0,0.87,0.0,50.0,55.0,-1.0,1.0868,-0.001,-5.0,0.0
2025-07-30T16:00:00+00:00,PEPE/USDT,LONG,V12_Original_4H,SL,1.1e-05,1.1e-05,228.3874,-12.0605,-5.2807,730.2,2025-07-29T16:00:00+00:00,32.63,29.57,0.0352,-10.418,-5.933,0.4351,1.03,1,24.0,0.0,0.0,0.696,0.167,50.0,55.0,-1.0,1.0139,-0.002,-3.0,0.0
2025-07-30T16:00:00+00:00,DOGE/USDT,LONG,V12_Original_4H,SL,0.22142,0.210681,171.2905,-8.3077,-4.8501,893.18,2025-07-30T12:00:00+00:00,25.09,39.85,0.03233,-5.367,3.225,0.487,1.343,1,4.0,0.0,0.0,0.522,0.333,50.0,55.0,-1.0,0.7653,-1,1.0,0.0
2025-07-31T20:00:00+00:00,DOGE/USDT,LONG,V12_Original_4H,SL,0.21999,0.208635,167.4715,-8.6439,-5.1614,317.79,2025-07-30T20:00:00+00:00,28.09,40.04,0.03441,-5.541,2.557,0.4846,0.518,1,24.0,0.0,0.0,0.87,0.333,50.0,55.0,-1.0,0.7423,-1,1.0,0.0
2025-07-31T20:00:00+00:00,PEPE/USDT,LONG,V12_Original_4H,SL,1.1e-05,1.1e-05,52.989,-2.8711,-5.4183,367.91,2025-07-30T20:00:00+00:00,43.18,35.9,0.03612,-8.322,-5.992,0.4846,0.522,1,24.0,0.0,0.0,0.87,0.333,50.0,55.0,-1.0,0.7453,-0.0032,1.0,0.0
2025-08-01T00:00:00+00:00,AVAX/USDT,LONG,V12_Original_4H,SL,23.31,22.232785,223.2953,-10.3191,-4.6213,580.89,2025-07-30T20:00:00+00:00,25.36,36.46,0.03081,-4.824,3.883,0.4846,0.371,1,28.0,0.0,0.0,0.87,0.333,50.0,55.0,-1.0,0.8338,-1,1.0,0.0
2025-08-01T00:00:00+00:00,XRP/USDT,LONG,V12_Original_4H,SL,3.0966,2.976659,125.6036,-4.865,-3.8733,701.63,2025-07-30T20:00:00+00:00,25.49,43.37,0.02582,-2.667,6.298,0.4846,0.557,1,28.0,0.0,0.0,0.87,0.333,50.0,55.0,-1.0,0.7443,-1,-2.0,0.0
2025-08-01T00:00:00+00:00,ADA/USDT,LONG,V12_Original_4H,SL,0.7634,0.729391,94.2027,-4.1967,-4.455,791.63,2025-07-30T20:00:00+00:00,27.23,37.33,0.0297,-5.334,2.255,0.4846,0.58,1,28.0,0.0,0.0,0.87,0.333,50.0,55.0,-1.0,0.8119,-1,1.0,0.0
2025-08-01T00:00:00+00:00,NEAR/USDT,LONG,V12_Original_4H,SL,2.657,2.518981,70.652,-3.6701,-5.1945,858.62,2025-07-30T20:00:00+00:00,28.7,39.49,0.03463,-4.936,1.108,0.4846,0.587,1,28.0,0.0,0.0,0.87,0.333,50.0,55.0,-1.0,0.7492,-1,1.0,0.0
2025-08-04T16:00:00+00:00,ETH/USDT,LONG,V12_Original_4H,TP,3485.46,3676.913821,160.9904,8.8431,5.4929,322.65,2025-08-03T08:00:00+00:00,44.56,37.88,0.02197,-4.421,4.468,0.4046,0.626,1,32.0,0.0,0.0,0.348,1.0,50.0,55.0,-1.0,0.6719,-1,4.0,0.0
