close_time,symbol,side,reason,entry_price,exit_price,amount,pnl,pnl_pct,balance,entry_time,adx,rsi,atr_pct
2026-03-25T05:09:34.670666+00:00,LINK/USDT,LONG,SL,9.33,9.291749150237068,105.983,-0.4345,-0.41,616.03,2026-03-25T05:08:31.531927+00:00,17.7,64.2,0.0041
2026-03-25T05:09:34.959300+00:00,NEAR/USDT,LONG,SL,1.303,1.2980589221562975,90.0856,-0.3416,-0.38,705.78,2026-03-25T05:08:32.149877+00:00,12.7,56.4,0.00379
2026-03-25T05:16:56.841026+00:00,LINK/USDT,LONG,SL,9.29,9.294645,105.8666,0.0529,0.05,615.84,2026-03-25T05:09:36.497838+00:00,17.7,64.2,0.00412
2026-03-25T05:17:27.715031+00:00,DOGE/USDT,LONG,SL,0.09649,0.096538245,107.3182,0.0537,0.05,630.84,2026-03-25T05:06:22.539148+00:00,15.0,69.3,0.0036
2026-03-25T05:18:31.369956+00:00,NEAR/USDT,LONG,SL,1.293,1.2880589221562975,89.9866,-0.3439,-0.38,625.86,2026-03-25T05:09:37.107244+00:00,12.7,56.4,0.00382
2026-03-25T05:22:10.880371+00:00,ADA/USDT,LONG,SL,0.2692,0.26806884333786535,91.2204,-0.3833,-0.42,622.81,2026-03-25T05:06:23.162831+00:00,21.1,58.4,0.0042
2026-03-25T05:41:02.376390+00:00,SOL/USDT,LONG,SL,92.43,92.476215,93.8784,0.0469,0.05,623.32,2026-03-25T05:18:32.226881+00:00,43.5,81.0,0.00459
2026-03-25T06:08:35.682975+00:00,XRP/USDT,LONG,SL,1.4213,1.4171885277589638,91.4267,-0.2645,-0.29,620.98,2026-03-25T05:07:58.597025+00:00,18.7,58.2,0.00289
2026-03-25T06:19:32.783922+00:00,DOGE/USDT,LONG,TP,0.09594,0.09658170983936469,93.4222,0.6249,0.67,621.88,2026-03-25T05:22:12.295763+00:00,34.9,84.1,0.00446
2026-03-25T06:23:45.629655+00:00,XRP/USDT,SHORT,SL,1.4173,1.4213640068213373,93.1473,-0.2671,-0.29,621.48,2026-03-25T06:15:22.143117+00:00,37.0,50.6,0.00287
2026-03-25T06:30:34.408874+00:00,AVAX/USDT,SHORT,SL,9.63,9.664430625114624,93.2823,-0.3335,-0.36,621.21,2026-03-25T06:19:34.272604+00:00,59.4,44.8,0.00358
2026-03-25T06:38:25.369352+00:00,LINK/USDT,LONG,SL,9.32,9.32466,93.4977,0.0467,0.05,621.57,2026-03-25T05:45:32.580127+00:00,44.2,76.6,0.00425
2026-03-25T06:58:51.278801+00:00,SOL/USDT,LONG,SL,92.83,92.43141029264727,93.181,-0.4001,-0.43,621.12,2026-03-25T06:30:34.991754+00:00,60.0,75.9,0.00429
2026-03-25T06:59:58.856911+00:00,DOGE/USDT,LONG,SL,0.09748,0.09701175076664696,93.2355,-0.4479,-0.48,713.9,2026-03-25T06:38:26.228884+00:00,56.1,81.5,0.0048
2026-03-25T07:00:35.080410+00:00,ETH/USDT,LONG,SL,2171.35,2163.7874088651483,94.6258,-0.3296,-0.35,808.2,2026-03-25T05:17:29.111622+00:00,41.2,76.7,0.00348
2026-03-25T07:03:24.486141+00:00,XRP/USDT,SHORT,SL,1.4217,1.4196679965893313,93.222,0.1332,0.14,677.28,2026-03-25T06:23:46.536524+00:00,37.0,50.6,0.00286
2026-03-25T07:11:49.834224+00:00,ETH/USDT,SHORT,SL,2163.31,2170.217696212614,121.2299,-0.3871,-0.32,696.53,2026-03-25T07:00:36.159429+00:00,50.2,44.5,0.00319
2026-03-25T07:12:23.848160+00:00,AVAX/USDT,SHORT,SL,9.63,9.666306069995768,103.0454,-0.3885,-0.38,694.71,2026-03-25T07:00:37.597790+00:00,41.2,52.1,0.00377
